vert,x,y,z,X_up,X_down,y_up,y_down,z_up,z_down
58,8,1,0,6,8,9,7,6,4
59,9,1,0,2,1,10,2,5,0
60,10,1,0,7,2,1,7,7,6
61,11,1,0,4,5,8,8,1,7
62,12,1,0,3,6,1,9,1,2
63,13,1,0,6,9,7,5,9,9
64,14,1,0,0,0,1,6,10,6
65,15,1,0,1,0,3,0,9,1
66,16,1,0,10,9,0,2,7,2
67,17,1,0,1,4,6,9,6,3
68,18,1,0,2,0,6,9,7,7
69,19,1,0,1,7,8,1,7,6
70,20,1,0,10,3,2,1,5,6
71,21,1,0,7,1,4,4,3,10
72,22,1,0,1,2,1,1,3,6
73,23,1,0,5,2,1,8,5,7
74,24,1,0,6,5,2,4,2,5
75,25,1,0,10,9,8,7,0,8
76,26,1,0,4,0,8,0,4,9
77,27,1,0,0,3,7,0,6,7
78,28,1,0,9,6,9,1,6,2
79,29,1,0,5,10,8,1,0,8
80,30,1,0,6,9,5,0,0,10
81,31,1,0,0,8,0,2,4,2
82,32,1,0,9,7,8,5,4,4
83,33,1,0,10,7,6,6,0,4
84,34,1,0,3,3,2,4,7,3
85,35,1,0,10,9,4,7,5,6
86,36,1,0,3,2,6,1,7,1
87,37,1,0,10,6,4,8,2,4
88,38,1,0,10,3,0,1,2,0
89,39,1,0,1,3,9,7,2,5
90,40,1,0,7,10,9,4,7,8
91,41,1,0,5,5,9,5,6,9
92,42,1,0,1,5,1,4,4,1
93,43,1,0,5,0,7,10,3,8
94,44,1,0,5,1,3,9,0,0
95,45,1,0,10,9,4,0,0,7
96,46,1,0,0,5,4,10,5,4
97,47,1,0,3,7,4,5,4,8
98,48,1,0,2,8,3,10,9,2
99,49,1,0,9,4,6,2,9,3
100,0,2,0,8,0,9,8,2,6
101,1,2,0,2,4,1,10,6,3
102,2,2,0,1,0,3,7,3,5
103,3,2,0,1,6,9,9,8,2
104,4,2,0,0,5,1,2,8,8
105,5,2,0,7,4,1,8,3,6
106,6,2,0,3,0,9,8,3,3
107,7,2,0,2,5,3,0,10,10
108,8,2,0,7,6,3,3,4,7
109,9,2,0,1,8,10,1,4,6
110,10,2,0,3,7,0,2,1,3
111,11,2,0,2,10,10,6,7,1
112,12,2,0,4,1,5,1,2,1
113,13,2,0,7,9,9,0,3,2
114,14,2,0,0,5,0,1,0,10
115,15,2,0,7,3,8,4,9,9
116,16,2,0,10,7,2,2,0,6
117,17,2,0,5,8,9,3,3,4
118,18,2,0,10,4,6,3,6,8
119,19,2,0,8,5,5,4,5,9
120,20,2,0,7,5,9,10,8,0
121,21,2,0,10,6,7,6,10,7
122,22,2,0,4,3,1,7,4,5
123,23,2,0,0,5,4,3,7,8
124,24,2,0,3,1,3,9,2,7
125,25,2,0,10,3,0,1,9,1
126,26,2,0,4,3,7,8,4,8
127,27,2,0,2,3,8,6,3,5
128,28,2,0,6,0,3,6,1,1
129,29,2,0,2,7,6,1,3,10
130,30,2,0,2,9,2,5,2,9
131,31,2,0,3,1,8,9,2,8
132,32,2,0,5,9,1,5,3,3
133,33,2,0,10,1,8,6,4,7
134,34,2,0,7,2,10,6,8,7
135,35,2,0,8,2,9,8,8,6
136,36,2,0,6,3,9,2,7,5
137,37,2,0,5,3,0,4,8,1
138,38,2,0,6,7,3,2,4,7
139,39,2,0,9,3,10,1,0,9
140,40,2,0,2,2,10,5,2,5
141,41,2,0,3,7,5,3,0,7
142,42,2,0,4,10,7,6,10,0
143,43,2,0,2,0,3,10,5,3
144,44,2,0,0,4,4,4,8,4
145,45,2,0,2,1,3,7,10,2
146,46,2,0,4,7,7,2,0,9
147,47,2,0,9,0,0,1,7,10
148,48,2,0,3,6,6,9,0,5
149,49,2,0,5,6,3,9,7,0
150,0,3,0,8,1,4,0,4,4
151,1,3,0,0,0,5,4,1,9
152,2,3,0,1,6,7,2,3,4
153,3,3,0,6,8,0,10,6,7
154,4,3,0,4,5,3,8,9,9
155,5,3,0,0,6,3,6,7,0
156,6,3,0,8,6,3,3,9,10
157,7,3,0,5,2,1,8,8,10
158,8,3,0,0,0,7,0,1,9
159,9,3,0,2,0,4,2,10,1
160,10,3,0,7,3,1,1,4,3
161,11,3,0,1,6,5,7,7,7
162,12,3,0,6,10,5,0,9,4
163,13,3,0,10,0,6,3,8,0
164,14,3,0,1,6,2,1,8,7
165,15,3,0,0,8,10,1,0,4
166,16,3,0,6,1,2,4,1,10
167,17,3,0,8,1,3,4,1,9
168,18,3,0,10,1,3,9,1,3
169,19,3,0,6,7,0,6,3,4
170,20,3,0,8,3,6,10,4,3
171,21,3,0,6,0,4,4,5,9
172,22,3,0,0,1,5,4,2,3
173,23,3,0,6,8,6,6,3,0
174,24,3,0,6,10,4,5,10,8
175,25,3,0,7,8,9,5,0,9
176,26,3,0,0,2,8,2,1,10
177,27,3,0,9,1,0,2,1,8
178,28,3,0,6,1,3,3,8,9
179,29,3,0,7,5,7,1,7,7
180,30,3,0,1,6,0,7,2,4
181,31,3,0,1,0,5,1,8,9
182,32,3,0,2,0,7,4,4,3
183,33,3,0,7,2,8,9,5,7
184,34,3,0,1,6,2,1,0,2
185,35,3,0,0,4,9,3,10,0
186,36,3,0,4,3,10,0,1,8
187,37,3,0,4,9,2,6,4,1
188,38,3,0,2,7,7,5,7,5
189,39,3,0,7,5,8,4,4,3
190,40,3,0,10,1,10,10,9,1
191,41,3,0,3,2,4,9,7,5
192,42,3,0,7,4,8,10,10,8
193,43,3,0,7,10,4,0,6,10
194,44,3,0,5,8,7,9,8,3
195,45,3,0,5,2,0,2,6,9
196,46,3,0,8,6,1,10,7,4
197,47,3,0,4,3,0,5,4,10
198,48,3,0,5,0,3,6,2,4
199,49,3,0,4,0,10,6,5,1
200,0,4,0,3,5,10,0,8,1
201,1,4,0,8,4,2,4,2,7
202,2,4,0,9,0,2,0,10,3
203,3,4,0,6,0,9,10,2,8
204,4,4,0,6,7,3,8,1,2
205,5,4,0,9,6,5,8,7,3
206,6,4,0,3,0,10,0,9,2
207,7,4,0,4,4,4,0,10,4
208,8,4,0,7,6,7,9,5,9
209,9,4,0,3,1,4,4,9,8
210,10,4,0,7,5,5,4,1,2
211,11,4,0,4,6,2,10,6,2
212,12,4,0,8,2,6,1,9,10
213,13,4,0,4,4,0,5,4,0
214,14,4,0,2,4,0,3,6,7
215,15,4,0,6,8,7,5,9,6
216,16,4,0,2,10,3,1,3,8
217,17,4,0,9,5,4,5,5,3
218,18,4,0,9,3,9,1,10,1
219,19,4,0,7,9,6,6,2,2
220,20,4,0,2,9,0,6,4,7
221,21,4,0,0,10,8,1,2,0
222,22,4,0,9,10,0,3,8,5
223,23,4,0,10,10,4,6,2,0
224,24,4,0,9,7,7,5,5,9
225,25,4,0,0,10,4,10,3,10
226,26,4,0,4,4,1,5,1,2
227,27,4,0,9,4,10,4,1,8
228,28,4,0,3,4,9,10,0,10
229,29,4,0,2,6,4,9,3,0
230,30,4,0,10,0,10,2,9,9
231,31,4,0,8,6,2,6,1,9
232,32,4,0,5,2,3,3,4,1
233,33,4,0,3,3,4,8,8,5
234,34,4,0,3,5,5,3,1,4
235,35,4,0,8,2,1,6,1,6
236,36,4,0,0,0,9,5,7,4
237,37,4,0,1,1,5,2,7,0
238,38,4,0,1,10,2,10,2,10
239,39,4,0,8,7,9,3,3,9
240,40,4,0,4,0,7,3,1,9
241,41,4,0,2,10,6,2,3,2
242,42,4,0,10,2,5,1,10,3
243,43,4,0,5,0,5,2,4,9
244,44,4,0,1,4,2,6,1,3
245,45,4,0,8,0,6,9,2,10
246,46,4,0,8,1,8,9,4,8
247,47,4,0,0,9,2,8,9,7
248,48,4,0,8,10,8,0,8,10
249,49,4,0,2,4,2,10,10,6
250,0,5,0,8,5,5,0,6,1
251,1,5,0,7,9,5,7,0,0
252,2,5,0,9,2,3,6,1,7
253,3,5,0,9,8,8,5,1,1
254,4,5,0,6,2,10,9,1,4
255,5,5,0,2,7,5,6,9,5
256,6,5,0,10,2,6,10,9,9
257,7,5,0,3,7,6,5,2,6
258,8,5,0,6,3,0,7,9,1
259,9,5,0,5,10,2,10,3,8
260,10,5,0,9,2,3,1,4,7
261,11,5,0,5,3,1,3,9,4
262,12,5,0,1,2,5,8,10,1
263,13,5,0,9,4,0,2,0,10
264,14,5,0,3,6,5,1,9,5
265,15,5,0,0,4,10,7,3,0
266,16,5,0,0,6,6,0,0,1
267,17,5,0,3,4,9,6,6,1
268,18,5,0,10,6,9,7,6,8
269,19,5,0,4,3,9,7,8,5
270,20,5,0,7,9,1,0,3,5
271,21,5,0,8,9,1,4,3,5
272,22,5,0,9,4,9,5,7,7
273,23,5,0,0,10,8,5,2,10
274,24,5,0,10,4,3,6,6,10
275,25,5,0,0,5,10,4,7,2
276,26,5,0,4,5,8,2,1,7
277,27,5,0,8,8,5,7,0,1
278,28,5,0,7,5,7,2,9,7
279,29,5,0,10,7,2,6,8,10
280,30,5,0,1,9,8,7,0,0
281,31,5,0,6,4,8,9,3,5
282,32,5,0,10,0,10,6,6,4
283,33,5,0,3,5,8,6,8,9
284,34,5,0,7,3,5,5,10,6
285,35,5,0,0,0,9,0,8,7
286,36,5,0,6,6,8,2,5,5
287,37,5,0,5,2,6,7,6,8
288,38,5,0,1,7,5,6,3,5
289,39,5,0,2,6,9,5,6,8
290,40,5,0,4,0,10,1,5,8
291,41,5,0,8,10,5,10,5,1
292,42,5,0,4,10,7,9,2,7
293,43,5,0,6,5,10,6,8,10
294,44,5,0,2,1,8,8,8,6
295,45,5,0,1,3,3,1,7,1
296,46,5,0,10,3,3,10,0,2
297,47,5,0,3,2,4,1,1,7
298,48,5,0,7,2,6,9,2,7
299,49,5,0,3,6,5,7,0,4
300,0,6,0,4,7,8,3,5,7
301,1,6,0,10,6,8,6,8,10
302,2,6,0,10,3,6,6,4,7
303,3,6,0,3,0,8,3,1,0
304,4,6,0,10,2,7,2,4,4
305,5,6,0,2,9,2,8,8,10
306,6,6,0,3,4,2,10,5,2
307,7,6,0,2,0,4,9,6,5
308,8,6,0,10,3,9,8,7,3
309,9,6,0,7,10,9,1,6,10
310,10,6,0,5,0,9,10,4,1
311,11,6,0,0,3,9,8,9,6
312,12,6,0,1,3,5,9,9,0
313,13,6,0,6,9,6,6,2,3
314,14,6,0,10,5,0,2,8,3
315,15,6,0,1,0,0,1,2,7
316,16,6,0,7,8,8,0,7,5
317,17,6,0,5,2,6,0,0,7
318,18,6,0,0,8,9,9,8,4
319,19,6,0,6,2,2,4,1,1
320,20,6,0,3,9,5,0,8,8
321,21,6,0,8,4,7,4,1,0
322,22,6,0,5,3,9,9,10,7
323,23,6,0,7,6,3,7,3,4
324,24,6,0,7,1,3,8,7,9
325,25,6,0,1,4,0,7,7,1
326,26,6,0,4,1,7,2,0,1
327,27,6,0,7,8,1,0,7,5
328,28,6,0,4,8,10,4,3,1
329,29,6,0,4,9,10,2,3,2
330,30,6,0,7,2,8,6,9,10
331,31,6,0,5,9,5,1,0,10
332,32,6,0,3,0,1,0,6,8
333,33,6,0,5,6,1,3,8,3
334,34,6,0,0,9,8,7,9,3
335,35,6,0,7,8,8,10,9,2
336,36,6,0,10,7,1,10,7,5
337,37,6,0,3,10,7,10,9,5
338,38,6,0,5,7,0,2,8,0
339,39,6,0,10,8,2,7,1,4
340,40,6,0,8,10,0,0,5,0
341,41,6,0,9,5,7,5,7,9
342,42,6,0,3,2,1,9,4,7
343,43,6,0,9,10,4,6,5,9
344,44,6,0,3,1,9,6,5,8
345,45,6,0,10,0,6,7,5,0
346,46,6,0,5,6,4,8,0,8
347,47,6,0,9,2,2,7,10,10
348,48,6,0,3,7,2,2,4,0
349,49,6,0,9,2,0,8,4,4
350,0,7,0,0,2,4,8,2,10
351,1,7,0,4,0,5,4,4,6
352,2,7,0,4,10,3,10,0,3
353,3,7,0,1,6,7,7,1,0
354,4,7,0,5,4,9,3,0,8
355,5,7,0,2,6,7,8,1,2
356,6,7,0,0,0,7,1,2,0
357,7,7,0,5,4,7,8,4,8
358,8,7,0,2,5,1,8,4,5
359,9,7,0,2,10,4,0,1,0
360,10,7,0,4,7,8,3,4,0
361,11,7,0,1,3,5,1,1,1
362,12,7,0,7,10,6,2,2,9
363,13,7,0,2,1,1,9,10,6
364,14,7,0,9,5,4,9,4,0
365,15,7,0,6,1,0,3,2,3
366,16,7,0,6,2,4,9,5,1
367,17,7,0,10,10,2,9,3,7
368,18,7,0,1,7,0,1,0,10
369,19,7,0,3,3,1,10,2,5
370,20,7,0,10,1,9,10,4,6
371,21,7,0,0,3,10,6,2,4
372,22,7,0,10,10,5,1,9,3
373,23,7,0,6,3,0,2,10,10
374,24,7,0,4,5,8,5,9,2
375,25,7,0,10,8,7,9,0,8
376,26,7,0,4,5,0,9,8,0
377,27,7,0,3,3,10,3,6,7
378,28,7,0,5,4,1,10,5,4
379,29,7,0,6,3,8,3,6,0
380,30,7,0,4,3,3,9,0,0
381,31,7,0,4,5,9,7,9,8
382,32,7,0,7,6,5,10,10,0
383,33,7,0,8,0,5,1,1,6
384,34,7,0,10,1,8,7,10,7
385,35,7,0,0,9,5,8,8,7
386,36,7,0,9,5,3,0,5,0
387,37,7,0,1,1,10,1,3,5
388,38,7,0,4,10,5,4,9,0
389,39,7,0,2,9,8,9,7,1
390,40,7,0,4,1,6,2,9,2
391,41,7,0,1,8,7,3,2,9
392,42,7,0,5,1,5,5,4,4
393,43,7,0,4,8,2,6,8,0
394,44,7,0,7,1,7,1,1,9
395,45,7,0,7,3,6,7,0,8
396,46,7,0,2,2,4,2,6,1
397,47,7,0,5,1,7,8,9,5
398,48,7,0,10,0,4,10,7,4
399,49,7,0,8,4,8,10,5,9
400,0,8,0,3,0,8,0,2,9
401,1,8,0,6,10,4,2,2,9
402,2,8,0,9,8,1,5,4,8
403,3,8,0,3,4,3,3,9,8
404,4,8,0,9,9,3,6,8,0
405,5,8,0,10,3,3,3,1,4
406,6,8,0,4,3,9,10,7,2
407,7,8,0,10,0,4,4,2,0
408,8,8,0,1,4,9,0,0,10
409,9,8,0,5,3,4,10,10,6
410,10,8,0,7,7,7,5,5,2
411,11,8,0,9,1,4,9,3,9
412,12,8,0,10,8,3,7,3,10
413,13,8,0,9,10,9,10,1,1
414,14,8,0,1,0,10,3,10,6
415,15,8,0,10,9,6,4,7,3
416,16,8,0,10,10,2,0,0,8
417,17,8,0,8,4,5,10,9,8
418,18,8,0,9,0,9,2,8,10
419,19,8,0,7,1,0,3,2,6
420,20,8,0,3,8,4,8,6,0
421,21,8,0,2,1,5,10,8,8
422,22,8,0,0,0,1,3,6,7
423,23,8,0,8,7,10,8,3,4
424,24,8,0,7,8,0,5,0,3
425,25,8,0,9,10,10,6,7,8
426,26,8,0,4,7,1,10,4,3
427,27,8,0,9,7,2,8,8,4
428,28,8,0,9,3,5,7,0,6
429,29,8,0,4,10,3,7,4,1
430,30,8,0,1,7,0,8,4,5
431,31,8,0,4,9,0,10,4,8
432,32,8,0,2,8,10,4,8,6
433,33,8,0,2,7,6,6,5,8
434,34,8,0,9,9,9,3,9,10
435,35,8,0,1,10,2,9,6,8
436,36,8,0,2,10,4,7,6,9
437,37,8,0,5,3,9,0,6,7
438,38,8,0,7,3,2,1,2,4
439,39,8,0,6,9,4,10,4,7
440,40,8,0,7,9,8,1,5,9
441,41,8,0,4,3,5,8,1,2
442,42,8,0,9,9,5,2,10,0
443,43,8,0,6,7,8,1,3,1
444,44,8,0,6,4,10,5,1,5
445,45,8,0,10,6,6,10,8,1
446,46,8,0,10,9,10,2,8,3
447,47,8,0,2,1,6,8,3,6
448,48,8,0,5,1,6,0,9,5
449,49,8,0,10,10,5,2,10,6
450,0,9,0,3,6,5,0,1,7
451,1,9,0,1,8,7,2,8,7
452,2,9,0,1,5,10,6,10,9
453,3,9,0,9,9,1,3,5,3
454,4,9,0,0,2,0,3,8,6
455,5,9,0,7,0,4,4,10,5
456,6,9,0,10,6,6,8,10,5
457,7,9,0,10,0,9,6,1,6
458,8,9,0,8,6,5,5,1,4
459,9,9,0,0,2,1,0,4,5
460,10,9,0,2,9,5,10,0,9
461,11,9,0,7,8,7,4,2,8
462,12,9,0,2,5,1,3,6,4
463,13,9,0,10,10,9,1,7,4
464,14,9,0,7,9,4,4,4,5
465,15,9,0,0,7,9,3,1,6
466,16,9,0,5,7,5,10,8,8
467,17,9,0,4,4,2,1,6,10
468,18,9,0,2,10,10,9,5,4
469,19,9,0,8,3,7,2,6,5
470,20,9,0,1,1,7,2,4,2
471,21,9,0,9,0,1,3,10,8
472,22,9,0,10,8,1,2,0,6
473,23,9,0,3,9,3,0,8,0
474,24,9,0,3,5,9,4,4,9
475,25,9,0,6,3,5,8,6,9
476,26,9,0,2,4,6,0,2,7
477,27,9,0,7,9,10,0,0,5
478,28,9,0,3,3,0,7,4,9
479,29,9,0,2,6,9,1,8,1
480,30,9,0,0,10,4,0,10,1
481,31,9,0,5,8,8,0,0,1
482,32,9,0,1,2,9,0,6,10
483,33,9,0,10,1,2,2,7,5
484,34,9,0,2,0,3,0,5,7
485,35,9,0,3,8,6,6,4,7
486,36,9,0,8,1,6,0,2,0
487,37,9,0,10,0,5,5,8,4
488,38,9,0,3,10,8,9,6,1
489,39,9,0,1,10,8,7,2,1
490,40,9,0,8,0,8,9,0,8
491,41,9,0,8,7,5,2,7,6
492,42,9,0,4,7,5,7,6,3
493,43,9,0,6,6,5,5,9,8
494,44,9,0,6,10,6,6,5,2
495,45,9,0,2,0,4,2,8,3
496,46,9,0,5,1,3,3,7,4
497,47,9,0,8,7,5,10,9,8
498,48,9,0,4,1,5,4,7,10
499,49,9,0,8,10,5,9,5,1
500,0,10,0,5,5,3,0,6,9
501,1,10,0,4,0,8,8,6,4
502,2,10,0,4,0,5,0,10,8
503,3,10,0,2,0,5,0,9,6
504,4,10,0,6,7,1,10,0,9
505,5,10,0,7,7,3,3,9,5
506,6,10,0,9,1,4,1,7,9
507,7,10,0,4,10,0,9,10,6
508,8,10,0,2,10,2,1,6,5
509,9,10,0,2,0,3,4,8,6
510,10,10,0,6,3,3,9,1,2
511,11,10,0,6,6,6,6,6,2
512,12,10,0,10,5,2,5,5,9
513,13,10,0,8,2,7,1,3,1
514,14,10,0,6,2,9,2,2,9
515,15,10,0,5,4,5,8,0,10
516,16,10,0,3,3,5,9,9,4
517,17,10,0,0,10,9,3,8,2
518,18,10,0,5,3,6,4,4,6
519,19,10,0,0,2,9,5,6,4
520,20,10,0,9,0,6,9,3,10
521,21,10,0,5,7,7,0,7,5
522,22,10,0,10,6,4,2,2,8
523,23,10,0,8,3,10,9,7,3
524,24,10,0,1,8,10,3,1,5
525,25,10,0,4,6,6,0,7,7
526,26,10,0,8,7,5,7,10,6
527,27,10,0,5,6,2,7,7,0
528,28,10,0,10,1,7,6,10,6
529,29,10,0,8,0,6,2,2,6
530,30,10,0,5,6,6,4,1,7
531,31,10,0,10,6,9,8,9,2
532,32,10,0,0,2,9,7,2,6
533,33,10,0,5,2,9,4,6,0
534,34,10,0,7,7,1,4,5,4
535,35,10,0,3,5,0,1,8,5
536,36,10,0,5,7,5,0,3,4
537,37,10,0,3,3,1,9,3,7
538,38,10,0,5,4,1,6,0,1
539,39,10,0,6,3,0,1,2,10
540,40,10,0,8,2,4,0,7,8
541,41,10,0,7,1,7,7,2,5
542,42,10,0,3,0,6,0,8,10
543,43,10,0,3,8,2,2,5,10
544,44,10,0,4,9,10,0,3,3
545,45,10,0,7,1,8,8,7,0
546,46,10,0,4,4,0,10,2,9
547,47,10,0,5,10,6,8,5,4
548,48,10,0,1,6,3,2,7,5
549,49,10,0,8,8,7,10,6,2
550,0,11,0,3,8,6,9,9,0
551,1,11,0,9,8,4,0,6,4
552,2,11,0,1,1,3,3,9,4
553,3,11,0,4,7,3,8,3,7
554,4,11,0,2,8,1,1,1,5
555,5,11,0,0,7,0,6,0,4
556,6,11,0,10,2,4,0,5,9
557,7,11,0,0,1,1,6,10,8
558,8,11,0,0,7,10,2,3,1
559,9,11,0,5,5,4,7,8,9
560,10,11,0,2,8,2,6,0,0
561,11,11,0,2,9,4,6,5,0
562,12,11,0,1,3,4,10,1,0
563,13,11,0,2,8,3,4,6,8
564,14,11,0,10,1,10,2,1,1
565,15,11,0,3,10,2,9,9,9
566,16,11,0,4,5,6,4,6,7
567,17,11,0,9,8,8,9,10,8
568,18,11,0,10,3,3,2,4,6
569,19,11,0,9,9,4,1,2,9
570,20,11,0,4,4,7,9,2,3
571,21,11,0,5,8,2,5,0,6
572,22,11,0,4,8,5,1,6,10
573,23,11,0,2,0,2,7,2,6
574,24,11,0,6,7,9,5,2,10
575,25,11,0,2,10,10,1,8,0
576,26,11,0,0,5,7,5,7,0
577,27,11,0,6,7,5,6,10,7
578,28,11,0,10,1,2,4,10,10
579,29,11,0,9,8,1,3,8,6
580,30,11,0,8,6,0,9,5,7
581,31,11,0,10,5,5,3,0,10
582,32,11,0,5,2,5,4,9,8
583,33,11,0,2,4,6,5,9,0
584,34,11,0,3,1,4,6,7,9
585,35,11,0,8,8,4,10,7,3
586,36,11,0,8,8,5,8,10,9
587,37,11,0,4,6,8,1,1,10
588,38,11,0,3,10,2,4,8,2
589,39,11,0,9,7,2,6,10,6
590,40,11,0,3,4,2,10,1,7
591,41,11,0,5,0,10,7,10,10
592,42,11,0,6,5,2,6,3,8
593,43,11,0,7,1,2,9,2,7
594,44,11,0,5,0,1,7,2,10
595,45,11,0,1,4,0,9,3,0
596,46,11,0,9,3,5,4,6,8
597,47,11,0,0,8,6,6,4,7
598,48,11,0,8,9,2,3,0,6
599,49,11,0,4,3,3,0,7,4
600,0,12,0,6,3,1,3,5,1
601,1,12,0,5,10,9,0,5,5
602,2,12,0,0,2,7,7,3,7
603,3,12,0,0,9,5,4,5,10
604,4,12,0,2,3,7,4,1,6
605,5,12,0,4,2,9,6,0,3
606,6,12,0,6,8,1,2,2,7
607,7,12,0,1,10,1,0,6,7
608,8,12,0,3,10,1,2,1,10
609,9,12,0,6,7,2,8,5,8
610,10,12,0,6,4,10,8,10,6
611,11,12,0,5,3,3,0,2,10
612,12,12,0,2,7,1,6,3,4
613,13,12,0,9,10,7,4,1,2
614,14,12,0,0,3,5,5,0,4
615,15,12,0,10,2,4,4,0,4
616,16,12,0,6,2,4,0,3,9
617,17,12,0,7,4,7,10,3,6
618,18,12,0,9,1,10,8,3,0
619,19,12,0,8,6,5,1,4,2
620,20,12,0,1,4,0,10,2,6
621,21,12,0,10,8,6,9,3,2
622,22,12,0,3,10,7,7,7,6
623,23,12,0,1,4,9,5,8,2
624,24,12,0,8,5,3,7,6,4
625,25,12,0,4,8,4,9,8,9
626,26,12,0,8,5,3,0,2,2
627,27,12,0,8,6,7,0,0,2
628,28,12,0,6,10,5,5,0,3
629,29,12,0,7,1,5,4,0,3
630,30,12,0,3,10,4,10,2,6
631,31,12,0,7,3,2,7,2,10
632,32,12,0,0,6,9,7,1,5
633,33,12,0,3,6,9,10,8,0
634,34,12,0,2,3,5,8,8,7
635,35,12,0,1,8,4,10,7,6
636,36,12,0,1,1,8,7,3,6
637,37,12,0,8,7,5,7,2,4
638,38,12,0,10,10,2,7,5,7
639,39,12,0,0,4,3,10,1,1
640,40,12,0,7,2,10,2,10,10
641,41,12,0,3,5,9,1,9,5
642,42,12,0,0,10,9,7,8,9
643,43,12,0,5,7,0,1,4,2
644,44,12,0,5,0,8,1,7,1
645,45,12,0,10,6,3,10,2,10
646,46,12,0,6,8,0,7,0,5
647,47,12,0,3,9,10,1,0,0
648,48,12,0,0,7,0,2,9,4
649,49,12,0,7,4,6,6,6,7
650,0,13,0,1,6,2,4,7,2
651,1,13,0,7,4,5,6,7,3
652,2,13,0,2,6,1,10,5,3
653,3,13,0,0,6,2,3,1,8
654,4,13,0,1,3,9,8,2,0
655,5,13,0,1,4,5,0,8,10
656,6,13,0,7,7,3,8,7,7
657,7,13,0,7,4,2,0,8,6
658,8,13,0,4,0,7,2,2,9
659,9,13,0,4,6,0,1,3,2
660,10,13,0,6,1,2,1,5,4
661,11,13,0,3,10,10,9,2,0
662,12,13,0,3,4,1,8,3,10
663,13,13,0,10,6,6,6,9,1
664,14,13,0,9,5,10,0,3,8
665,15,13,0,4,4,4,6,5,6
666,16,13,0,6,2,10,5,8,2
667,17,13,0,0,3,6,6,3,2
668,18,13,0,4,2,0,6,1,5
669,19,13,0,10,0,5,6,6,10
670,20,13,0,10,1,3,5,9,5
671,21,13,0,4,3,7,7,2,8
672,22,13,0,7,10,10,3,7,8
673,23,13,0,3,6,7,2,1,7
674,24,13,0,0,0,4,6,7,9
675,25,13,0,2,6,4,9,2,5
676,26,13,0,4,4,5,7,9,6
677,27,13,0,2,4,10,4,10,10
678,28,13,0,9,9,6,2,10,8
679,29,13,0,7,7,10,10,3,2
680,30,13,0,6,10,6,10,7,3
681,31,13,0,3,4,10,3,4,2
682,32,13,0,7,0,0,9,2,0
683,33,13,0,4,1,4,8,1,4
684,34,13,0,0,9,4,1,6,10
685,35,13,0,1,9,5,4,9,8
686,36,13,0,2,8,1,6,5,8
687,37,13,0,9,10,5,4,7,0
688,38,13,0,3,8,5,9,2,7
689,39,13,0,5,5,5,4,8,6
690,40,13,0,5,9,4,9,9,6
691,41,13,0,5,1,7,0,3,7
692,42,13,0,0,10,0,10,7,3
693,43,13,0,9,7,1,7,5,8
694,44,13,0,10,6,4,9,3,9
695,45,13,0,5,8,10,8,6,5
